item_id,order_id,product_id,quantity,unit_price,discount_percent
1,1,311,4,24799.0,91.61
2,1,247,-1,4043.06,50.07
3,1,37,3,35213.2,92.57
4,1,171,4,37392.19,37.31
5,1,70,4,33850.51,98.75
6,2,210,1,11560.24,12.45
7,3,84,3,7561.03,75.16
8,3,100,3,6311.3,48.86
9,3,391,3,5372.32,65.09
10,3,224,4,36256.78,24.24
11,3,491,1,34347.27,36.14
12,4,358,2,26929.0,45.55
13,5,131,5,45109.84,66.26
14,5,127,-2,8182.15,77.1
15,6,204,1,3281.62,18.88
16,6,362,4,21780.73,42.69
17,6,301,3,26890.76,53.32
18,6,499,4,28513.24,73.39
19,7,56,5,2053.19,34.44
20,8,138,2,25797.51,39.8
21,8,384,-3,11984.56,16.84
22,9,1,4,6383.6,65.45
23,9,50,4,25416.11,37.47
24,9,36,2,485.72,18.2
25,9,397,1,27842.09,81.44
26,10,103,2,21587.3,19.19
27,10,31,4,24334.52,91.3
28,11,445,2,10426.95,8.57
29,12,142,1,25784.77,58.56
30,13,249,1,32529.73,75.18
31,13,345,1,31441.19,78.92
32,13,390,1,11757.2,52.23
33,13,52,1,42779.14,52.01
34,14,478,3,2577.59,33.66
35,14,249,3,32529.73,81.68
36,14,243,3,27627.01,37.84
37,15,500,3,9099.8,80.63
38,16,234,4,46744.44,88.8
39,17,14,1,32770.18,27.95
40,17,309,2,9436.22,61.84
41,18,264,1,13471.8,95.75
42,18,212,-3,38326.07,36.02
43,18,339,1,3989.14,73.58
44,18,97,4,44300.94,48.45
45,19,407,4,32399.19,85.71
46,19,42,1,12241.49,29.39
47,19,179,2,36183.57,86.99
48,19,220,5,7545.96,71.67
49,19,481,1,40273.77,79.68
50,20,427,4,8850.05,44.63
51,20,345,1,31441.19,54.07
52,20,281,2,35447.52,75.33
53,21,55,4,40567.24,2.92
54,22,463,3,7278.25,25.76
55,22,197,4,18153.06,67.06
56,22,393,2,42638.86,63.35
57,23,47,2,31434.64,76.63
58,23,408,5,4477.31,34.32
59,23,355,4,3469.88,78.51
60,23,171,4,37392.19,22.36
61,24,149,1,38243.77,34.02
