product_id,product_name,category,subcategory,cost_price
1,iPhone 15,Electronics,Laptops,6383.6
2,Jeans,Clothing,Kids,10875.97
3,Cap,Clothing,Men,29839.48
4,Sofa,Home,Kitchen,39945.84
5,   iPhone 15   ,Electronics,Mobiles,39520.23
6,Cap,Clothing,Men,2714.71
7,sql cOOKBOOK,Books,Fiction,22468.93
8,Chair,Home,Furniture,47276.24
9,USB Cable,Electronics,Laptops,48204.91
10,Mechanical Keyboard,Electronics,Laptops,5487.3
11,SQL Cookbook,Books,Programming,7501.86
12,Kurta,Clothing,Kids,27462.99
13,LED Lamp,Home,Decor,22740.4
14,SQL Cookbook,Books,Fiction,32770.18
15,Sweatshirt,Clothing,Women,20749.3
16,Computer Networks,Books,Education,15696.16
17,Mixer Grinder,Home,Furniture,34372.37
18,SQL Cookbook,Books,Programming,4752.18
19,Webcam,Electronics,Mobiles,29364.61
20,Chair,Home,Furniture,33300.49
21,Python Programming,Books,Education,17647.14
22,Jacket,Clothing,Kids,42379.01
23,Pressure Cooker,Home,Kitchen,28747.59
24,Python Programming,Books,Fiction,41490.09
25,Dining Table,Home,Kitchen,38144.23
26,Pressure Cooker,Home,Kitchen,7248.25
27,SQL Cookbook,Books,Programming,48593.33
28,USB Cable,Electronics,Mobiles,22736.92
29,Cap,Clothing,Women,38864.1
30,iPhone 15,Electronics,Mobiles,30930.13
31,Monitor,Electronics,Laptops,24334.52
32,Computer Networks,Books,Education,25666.08
33,LED Lamp,Home,Kitchen,33956.46
34,Atomic Habits,Books,Programming,49223.84
35,iPhone 15,Electronics,Mobiles,10640.58
36,Kurta,Clothing,Women,485.72
37,Machine Learning Basics,Books,Programming,35213.2
38,Chair,Home,Furniture,2210.88
39,Mechanical Keyboard,Electronics,Mobiles,28830.38
40,Computer Networks,Books,Education,1140.74
41,Sofa,Home,Decor,34511.54
42,Chair,Home,Furniture,12241.49
43,SQL Cookbook,Books,Education,37315.66
44,cAP,Clothing,Men,31697.91
45,Cap,Clothing,Women,40965.54
46,Sneakers,Clothing,Men,9943.86
47,Jeans,Clothing,Men,31434.64
48,DSA Handbook,Books,Fiction,28268.14
49,Pressure Cooker,Home,Kitchen,23499.16
50,mIXER gRINDER,Home,Decor,25416.11
51,   Wall Clock   ,Home,Furniture,18500.01
52,Chair,Home,Decor,42779.14
53,DSA Handbook,Books,Fiction,39611.71
54,Mechanical Keyboard,Electronics,Accessories,16144.19
55,Machine Learning Basics,Books,Programming,40567.24
56,Chair,Home,Decor,2053.19
57,DSA Handbook,Books,Fiction,8021.44
58,Mixer Grinder,Home,Furniture,16984.52
59,Webcam,Electronics,Mobiles,27942.36
60,Atomic Habits,Books,Education,32862.55
61,Cap,Clothing,Men,7157.28
62,Mixer Grinder,Home,Decor,19658.7
63,Monitor,Electronics,Accessories,39603.93
64,Jeans,Clothing,Kids,25473.58
65,Webcam,Electronics,Laptops,10788.21
66,Clean Code,Books,Programming,7831.76
67,Chair,Home,Decor,41772.48
68,Webcam,Electronics,Accessories,18898.32
69,Jacket,Clothing,Kids,40471.28
70,Polo Shirt,Clothing,Men,33850.51
71,Polo Shirt,Clothing,Kids,37451.97
72,Clean Code,Books,Fiction,48283.27
73,Clean Code,Books,Education,28563.93
74,DSA Handbook,Books,Education,25195.04
75,Machine Learning Basics,Books,Programming,7006.09
76,Dining Table,Home,Decor,18623.48
77,USB Cable,Electronics,Mobiles,38179.53
78,Wall Clock,Home,Decor,21929.88
79,Polo Shirt,Clothing,Women,20803.36
80,Operating Systems,Books,Programming,4172.11
81,T-Shirt,Clothing,Women,41974.9
82,   Sofa   ,Home,Kitchen,45878.07
83,Machine Learning Basics,Books,Fiction,30805.88
84,iPhone 15,Electronics,Laptops,7561.03
85,SQL Cookbook,Books,Education,6180.23
86,Sweatshirt,Clothing,Kids,22909.97
87,Mechanical Keyboard,Electronics,Accessories,31634.55
88,Jacket,Clothing,Women,30779.0
89,Sweatshirt,Clothing,Men,4372.14
90,Chair,Home,Decor,39341.98
91,   Wireless Mouse   ,Electronics,Laptops,19405.38
92,   Mixer Grinder   ,Home,Decor,39447.15
93,Microwave,Home,Decor,5272.83
94,Sofa,Home,Kitchen,16993.51
95,Polo Shirt,Clothing,Kids,9195.67
96,Jeans,Clothing,Kids,22938.21
97,Microwave,Home,Kitchen,44300.94
98,Mixer Grinder,Home,Decor,40788.76
99,Atomic Habits,Books,Programming,9636.06
100,Dining Table,Home,Decor,6311.3
101,LED Lamp,Home,Furniture,44742.41
102,Operating Systems,Books,Programming,24926.42
103,Chair,Home,Decor,21587.3
104,Kurta,Clothing,Women,16463.2
105,Mixer Grinder,Home,Furniture,21363.19
106,   Operating Systems   ,Books,Education,43514.86
107,LED Lamp,Home,Furniture,39594.74
108,Samsung Galaxy S24,Electronics,Accessories,18229.23
109,T-Shirt,Clothing,Men,33936.63
110,pYTHON pROGRAMMING,Books,Programming,38947.92
111,Pressure Cooker,Home,Furniture,1716.03
112,Polo Shirt,Clothing,Women,38177.92
113,Cap,Clothing,Women,14006.62
114,iPhone 15,Electronics,Accessories,25935.49
115,Monitor,Electronics,Laptops,10807.06
116,Wall Clock,Home,Kitchen,42656.03
117,Machine Learning Basics,Books,Fiction,4480.76
118,pRESSURE cOOKER,Home,Decor,27154.35
119,Sofa,Home,Decor,35040.94
120,Cap,Clothing,Kids,49258.11
121,   Sneakers   ,Clothing,Women,27745.67
122,Wall Clock,Home,Decor,44223.9
123,Monitor,Electronics,Laptops,35971.6
